 
t,x,y,r,vx,vy,v,ax,ay,a,step,frame,px,p,pixelx,pixely
4.333333E-1,3.691703E-2,2.600070E-1,2.626148E-1,1.984786E-1,-5.513296E-2,2.059937E-1,-3.780546E0,1.134164E0,3.947005E0,5.200000E1,5.200000E1,1.984786E-1,2.059937E-1,1.060000E2,1.200000E2
4.416667E-1,3.765213E-2,2.594557E-1,2.621735E-1,1.102659E-1,-4.410636E-2,1.187600E-1,-6.804982E0,-3.024436E0,7.446811E0,5.300000E1,5.300000E1,1.102659E-1,1.187600E-1,1.063333E2,1.202500E2
4.500000E-1,3.875479E-2,2.592719E-1,2.621524E-1,1.102659E-1,-8.821273E-2,1.412093E-1,2.268327E0,-2.268327E0,3.207899E0,5.400000E1,5.400000E1,1.102659E-1,1.412093E-1,1.068333E2,1.203333E2
4.583333E-1,3.948990E-2,2.579855E-1,2.609903E-1,1.323191E-1,-1.102659E-1,1.722409E-1,3.780546E0,2.268327E0,4.408836E0,5.500000E1,5.500000E1,1.323191E-1,1.722409E-1,1.071667E2,1.209167E2
4.666667E-1,4.096011E-2,2.574341E-1,2.606723E-1,1.874520E-1,-3.307977E-2,1.903485E-1,1.134164E0,6.426927E0,6.526233E0,5.600000E1,5.600000E1,1.874520E-1,1.903485E-1,1.078333E2,1.211667E2
4.750000E-1,4.261410E-2,2.574341E-1,2.609374E-1,1.543723E-1,0.000000E0,1.543723E-1,-1.512218E0,1.512218E0,2.138599E0,5.700000E1,5.700000E1,1.543723E-1,1.543723E-1,1.085833E2,1.211667E2
4.833333E-1,4.353298E-2,2.574341E-1,2.610890E-1,1.433457E-1,-1.102659E-2,1.437692E-1,-3.780546E-1,-2.646382E0,2.673249E0,5.800000E1,5.800000E1,1.433457E-1,1.437692E-1,1.090000E2,1.211667E2
4.916667E-1,4.500319E-2,2.572504E-1,2.611571E-1,1.653989E-1,-4.410636E-2,1.711787E-1,1.134164E0,-2.268327E0,2.536067E0,5.900000E1,5.900000E1,1.653989E-1,1.711787E-1,1.096667E2,1.212500E2
5.000000E-1,4.628963E-2,2.566990E-1,2.608393E-1,1.543723E-1,-5.513296E-2,1.639221E-1,1.512218E0,-1.890273E0,2.420730E0,6.000000E1,6.000000E1,1.543723E-1,1.639221E-1,1.102500E2,1.215000E2
5.083333E-1,4.757607E-2,2.563315E-1,2.607093E-1,1.874520E-1,-6.615955E-2,1.987847E-1,4.914709E0,-2.268327E0,5.412917E0,6.100000E1,6.100000E1,1.874520E-1,1.987847E-1,1.108333E2,1.216667E2
5.166667E-1,4.941383E-2,2.555964E-1,2.603291E-1,2.425850E-1,-9.923932E-2,2.620991E-1,8.317200E0,3.780546E-1,8.325788E0,6.200000E1,6.200000E1,2.425850E-1,2.620991E-1,1.116667E2,1.220000E2
5.250000E-1,5.161915E-2,2.546775E-1,2.598560E-1,3.197711E-1,-6.615955E-2,3.265435E-1,1.134164E0,4.536655E0,4.676277E0,6.300000E1,6.300000E1,3.197711E-1,3.265435E-1,1.126667E2,1.224167E2
5.333333E-1,5.474335E-2,2.544937E-1,2.603150E-1,2.866914E-1,-1.102659E-2,2.869033E-1,-7.561091E0,-3.780546E-1,7.570537E0,6.400000E1,6.400000E1,2.866914E-1,2.869033E-1,1.140833E2,1.225000E2
5.416667E-1,5.639734E-2,2.544937E-1,2.606678E-1,1.653989E-1,-6.615955E-2,1.781400E-1,-7.939146E0,-4.536655E0,9.143920E0,6.500000E1,6.500000E1,1.653989E-1,1.781400E-1,1.148333E2,1.225000E2
5.500000E-1,5.750000E-2,2.533911E-1,2.598332E-1,1.543723E-1,-1.102659E-1,1.897086E-1,1.512218E0,-7.561091E-1,1.690711E0,6.600000E1,6.600000E1,1.543723E-1,1.897086E-1,1.153333E2,1.230000E2
5.583333E-1,5.897021E-2,2.526560E-1,2.594466E-1,1.984786E-1,-6.615955E-2,2.092149E-1,3.780546E0,2.268327E0,4.408836E0,6.700000E1,6.700000E1,1.984786E-1,2.092149E-1,1.160000E2,1.233333E2
5.666667E-1,6.080797E-2,2.522884E-1,2.595131E-1,2.205318E-1,-6.615955E-2,2.302420E-1,-2.268327E0,0.000000E0,2.268327E0,6.800000E1,6.800000E1,2.205318E-1,2.302420E-1,1.168333E2,1.235000E2
5.750000E-1,6.264574E-2,2.515533E-1,2.592365E-1,1.653989E-1,-7.718614E-2,1.825226E-1,-3.402491E0,-3.780546E-1,3.423430E0,6.900000E1,6.900000E1,1.653989E-1,1.825226E-1,1.176667E2,1.238333E2
5.833333E-1,6.356462E-2,2.510020E-1,2.589256E-1,1.433457E-1,-6.615955E-2,1.578768E-1,1.890273E0,7.561091E-1,2.035886E0,7.000000E1,7.000000E1,1.433457E-1,1.578768E-1,1.180833E2,1.240833E2
5.916667E-1,6.503483E-2,2.504506E-1,2.587567E-1,2.095052E-1,-6.615955E-2,2.197033E-1,3.402491E0,1.512218E0,3.723406E0,7.100000E1,7.100000E1,2.095052E-1,2.197033E-1,1.187500E2,1.243333E2
6.000000E-1,6.705638E-2,2.498993E-1,2.587397E-1,2.095052E-1,-4.410636E-2,2.140977E-1,4.158600E0,1.512218E0,4.425015E0,7.200000E1,7.200000E1,2.095052E-1,2.140977E-1,1.196667E2,1.245833E2
6.083333E-1,6.852659E-2,2.497155E-1,2.589474E-1,2.536116E-1,-3.307977E-2,2.557599E-1,5.670818E0,-1.134164E0,5.783123E0,7.300000E1,7.300000E1,2.536116E-1,2.557599E-1,1.203333E2,1.246667E2
6.166667E-1,7.128324E-2,2.493480E-1,2.593371E-1,3.307977E-1,-6.615955E-2,3.373488E-1,-3.780546E0,-3.024436E0,4.841461E0,7.400000E1,7.400000E1,3.307977E-1,3.373488E-1,1.215833E2,1.248333E2
6.250000E-1,7.403988E-2,2.486129E-1,2.594037E-1,1.984786E-1,-8.821273E-2,2.171987E-1,-1.587829E1,1.512218E0,1.595014E1,7.500000E1,7.500000E1,1.984786E-1,2.171987E-1,1.228333E2,1.251667E2
6.333333E-1,7.459121E-2,2.478778E-1,2.588576E-1,3.307977E-2,-4.410636E-2,5.513296E-2,-4.158600E0,7.561091E-1,4.226778E0,7.600000E1,7.600000E1,3.307977E-2,5.513296E-2,1.230833E2,1.255000E2
6.416667E-1,7.459121E-2,2.478778E-1,2.588576E-1,1.212925E-1,-5.513296E-2,1.332348E-1,1.474413E1,-4.914709E0,1.554168E1,7.700000E1,7.700000E1,1.212925E-1,1.332348E-1,1.230833E2,1.255000E2
6.500000E-1,7.661275E-2,2.469589E-1,2.585695E-1,3.087446E-1,-1.433457E-1,3.403986E-1,9.073309E0,-4.158600E0,9.980927E0,7.800000E1,7.800000E1,3.087446E-1,3.403986E-1,1.240000E2,1.259167E2
6.583333E-1,7.973696E-2,2.454887E-1,2.581137E-1,2.866914E-1,-1.323191E-1,3.157535E-1,-1.512218E0,3.024436E0,3.381423E0,7.900000E1,7.900000E1,2.866914E-1,3.157535E-1,1.254167E2,1.265833E2
6.666667E-1,8.139094E-2,2.447536E-1,2.579318E-1,2.425850E-1,-7.718614E-2,2.545686E-1,-3.780546E0,4.914709E0,6.200556E0,8.000000E1,8.000000E1,2.425850E-1,2.545686E-1,1.261667E2,1.269167E2
6.750000E-1,8.378004E-2,2.442022E-1,2.581740E-1,2.536116E-1,-5.513296E-2,2.595351E-1,4.914709E0,-3.402491E0,5.977567E0,8.100000E1,8.100000E1,2.536116E-1,2.595351E-1,1.272500E2,1.271667E2
6.833333E-1,8.561780E-2,2.438347E-1,2.584294E-1,2.977180E-1,-1.212925E-1,3.214776E-1,1.890273E0,-1.134164E0,2.204418E0,8.200000E1,8.200000E1,2.977180E-1,3.214776E-1,1.280833E2,1.273333E2
6.916667E-1,8.874201E-2,2.421807E-1,2.579276E-1,3.197711E-1,-1.102659E-1,3.382487E-1,-3.780546E-1,0.000000E0,3.780546E-1,8.300000E1,8.300000E1,3.197711E-1,3.382487E-1,1.295000E2,1.280833E2
7.000000E-1,9.094732E-2,2.419969E-1,2.585226E-1,2.646382E-1,-7.718614E-2,2.756648E-1,-3.780546E0,1.134164E0,3.947005E0,8.400000E1,8.400000E1,2.646382E-1,2.756648E-1,1.305000E2,1.281667E2
7.083333E-1,9.315264E-2,2.408943E-1,2.582779E-1,2.646382E-1,-1.212925E-1,2.911104E-1,-7.561091E-1,-1.134164E0,1.363095E0,8.500000E1,8.500000E1,2.646382E-1,2.911104E-1,1.315000E2,1.286667E2
7.166667E-1,9.535796E-2,2.399754E-1,2.582273E-1,2.536116E-1,-8.821273E-2,2.685150E-1,-2.646382E0,-1.512218E0,3.047973E0,8.600000E1,8.600000E1,2.536116E-1,2.685150E-1,1.325000E2,1.290833E2
7.250000E-1,9.737950E-2,2.394240E-1,2.584698E-1,2.205318E-1,-1.323191E-1,2.571821E-1,-3.024436E0,1.512218E0,3.381423E0,8.700000E1,8.700000E1,2.205318E-1,2.571821E-1,1.334167E2,1.293333E2
7.333333E-1,9.903349E-2,2.377701E-1,2.575699E-1,1.984786E-1,-9.923932E-2,2.219059E-1,-1.512218E0,2.646382E0,3.047973E0,8.800000E1,8.800000E1,1.984786E-1,2.219059E-1,1.341667E2,1.300833E2
7.416667E-1,1.006875E-1,2.377701E-1,2.582103E-1,1.984786E-1,-4.410636E-2,2.033203E-1,7.561091E-1,1.512218E0,1.690711E0,8.900000E1,8.900000E1,1.984786E-1,2.033203E-1,1.349167E2,1.300833E2
7.500000E-1,1.023415E-1,2.370350E-1,2.581847E-1,2.095052E-1,-9.923932E-2,2.318208E-1,-4.158600E0,-1.134164E0,4.310485E0,9.000000E1,9.000000E1,2.095052E-1,2.318208E-1,1.356667E2,1.304167E2
7.583333E-1,1.041792E-1,2.361161E-1,2.580777E-1,1.433457E-1,-6.615955E-2,1.578768E-1,1.020747E1,0.000000E0,1.020747E1,9.100000E1,9.100000E1,1.433457E-1,1.578768E-1,1.365000E2,1.308333E2
7.666667E-1,1.047306E-1,2.359323E-1,2.581328E-1,3.197711E-1,-7.718614E-2,3.289548E-1,6.426927E0,1.134164E0,6.526233E0,9.200000E1,9.200000E1,3.197711E-1,3.289548E-1,1.367500E2,1.309167E2
7.750000E-1,1.095088E-1,2.348296E-1,2.591083E-1,3.638775E-1,-7.718614E-2,3.719738E-1,-3.402491E0,1.134164E0,3.586540E0,9.300000E1,9.300000E1,3.638775E-1,3.719738E-1,1.389167E2,1.314167E2
7.833333E-1,1.107952E-1,2.346459E-1,2.594884E-1,1.653989E-1,-3.307977E-2,1.686744E-1,-9.451364E0,-2.646382E0,9.814867E0,9.400000E1,9.400000E1,1.653989E-1,1.686744E-1,1.395000E2,1.315000E2
7.916667E-1,1.122654E-1,2.342783E-1,2.597881E-1,2.315584E-1,-1.212925E-1,2.614023E-1,5.670818E0,-4.158600E0,7.032221E0,9.500000E1,9.500000E1,2.315584E-1,2.614023E-1,1.401667E2,1.316667E2
8.000000E-1,1.146545E-1,2.326243E-1,2.593448E-1,2.756648E-1,-1.323191E-1,3.057767E-1,3.402491E0,7.561091E-1,3.485491E0,9.600000E1,9.600000E1,2.756648E-1,3.057767E-1,1.412500E2,1.324167E2
8.083333E-1,1.168598E-1,2.320730E-1,2.598347E-1,2.756648E-1,-7.718614E-2,2.862670E-1,1.134164E0,1.890273E0,2.204418E0,9.700000E1,9.700000E1,2.756648E-1,2.862670E-1,1.422500E2,1.326667E2
8.166667E-1,1.192489E-1,2.313379E-1,2.602643E-1,2.977180E-1,-1.102659E-1,3.174816E-1,-3.780546E-1,-3.024436E0,3.047973E0,9.800000E1,9.800000E1,2.977180E-1,3.174816E-1,1.433333E2,1.330000E2
8.250000E-1,1.218218E-1,2.302352E-1,2.604780E-1,2.756648E-1,-1.323191E-1,3.057767E-1,-6.426927E0,1.512218E0,6.602439E0,9.900000E1,9.900000E1,2.756648E-1,3.057767E-1,1.445000E2,1.335000E2
