"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.894239590E-1,-1.316052526E-1,-6.970292568E0,6.982256413E0
6.918348960E-1,-1.674975902E-1,-6.979863644E0,6.984649181E0
6.942458340E-1,-1.770688742E-1,-6.975078106E0,6.967899323E0
6.966568230E-1,-1.866401732E-1,-6.977470875E0,6.970292568E0
6.990677610E-1,-2.057827413E-1,-6.975078106E0,6.958328247E0
7.014786980E-1,-2.321037948E-1,-6.975078106E0,6.948757172E0
7.038896360E-1,-2.297109663E-1,-6.977470875E0,6.932007313E0
7.063005730E-1,-2.177468538E-1,-6.975078106E0,6.924828529E0
7.087115110E-1,-2.177468538E-1,-6.979863644E0,6.915257454E0
7.111224480E-1,-2.081755698E-1,-6.996613503E0,6.917650223E0
7.135333860E-1,-2.081755698E-1,-6.999006271E0,6.900900364E0
7.159443230E-1,-2.081755698E-1,-7.010970116E0,6.886543751E0
7.183552610E-1,-1.986042857E-1,-6.996613503E0,6.876972198E0
7.207661980E-1,-1.962114573E-1,-7.022934437E0,6.876972198E0
7.231771360E-1,-1.890329868E-1,-7.030112743E0,6.884150982E0
7.255881250E-1,-1.890329868E-1,-7.034898758E0,6.891329288E0
7.279990630E-1,-1.794617027E-1,-7.039684296E0,6.891329288E0
7.304100000E-1,-1.770688742E-1,-7.034898758E0,6.900900364E0
7.328209380E-1,-1.459621787E-1,-7.046862602E0,6.917650223E0
7.352318750E-1,-1.507478207E-1,-7.054041386E0,6.936792850E0
7.376428130E-1,-1.339980662E-1,-7.061219692E0,6.927221775E0
7.400537500E-1,-1.292124242E-1,-7.054041386E0,6.955935478E0
7.424646880E-1,-1.411765367E-1,-7.046862602E0,6.975078106E0
7.448756250E-1,-1.363908947E-1,-7.025327206E0,6.972685337E0
7.472865630E-1,-1.579262912E-1,-7.025327206E0,6.991827965E0
7.496975000E-1,-1.746760458E-1,-7.020541668E0,6.999006271E0
7.521084380E-1,-1.842473447E-1,-7.022934437E0,7.001399040E0
7.545194270E-1,-2.009970993E-1,-6.994220734E0,7.006184578E0
7.569303650E-1,-2.009970993E-1,-6.960721016E0,7.015756130E0
7.593413020E-1,-1.890329868E-1,-6.953542709E0,7.030112743E0
7.617522400E-1,-1.818545163E-1,-6.924828529E0,7.042077065E0
7.641631770E-1,-1.794617027E-1,-6.927221775E0,7.034898758E0
7.665741150E-1,-1.794617027E-1,-6.936792850E0,7.054041386E0
7.689850520E-1,-1.842473447E-1,-6.922435760E0,7.063612461E0
7.713959900E-1,-1.842473447E-1,-6.934400082E0,7.087540627E0
7.738069270E-1,-2.009970993E-1,-6.929614544E0,7.104290485E0
7.762178650E-1,-2.033899277E-1,-6.917650223E0,7.113861561E0
7.786288020E-1,-2.009970993E-1,-6.905686378E0,7.121040344E0
7.810397400E-1,-1.962114573E-1,-6.908079147E0,7.133004189E0
7.834507290E-1,-1.794617027E-1,-6.908079147E0,7.147361279E0
7.858616670E-1,-1.746760458E-1,-6.927221775E0,7.121040344E0
7.882726040E-1,-1.627119333E-1,-6.939185619E0,7.089933395E0
7.906835420E-1,-1.698904037E-1,-6.927221775E0,7.089933395E0
7.930944790E-1,-1.962114573E-1,-6.927221775E0,7.082755089E0
7.955054170E-1,-2.129612118E-1,-6.946363926E0,7.058826923E0
7.979163540E-1,-2.129612118E-1,-6.963113785E0,7.025327206E0
8.003272920E-1,-2.177468538E-1,-6.975078106E0,7.018148899E0
8.027382290E-1,-2.009970993E-1,-6.965506554E0,7.006184578E0
8.051491670E-1,-1.914258152E-1,-6.960721016E0,6.984649181E0
8.075601040E-1,-1.770688742E-1,-6.984649181E0,6.975078106E0
8.099710420E-1,-1.651047617E-1,-7.018148899E0,6.965506554E0
8.123820320E-1,-1.483550072E-1,-7.008577347E0,6.965506554E0
8.147929690E-1,-1.459621787E-1,-6.996613503E0,6.970292568E0
8.172039070E-1,-1.459621787E-1,-7.003791809E0,6.963113785E0
8.196148440E-1,-1.651047617E-1,-7.008577347E0,6.958328247E0
8.220257820E-1,-1.794617027E-1,-7.006184578E0,6.965506554E0
8.244367190E-1,-1.794617027E-1,-7.003791809E0,6.939185619E0
8.268476570E-1,-1.746760458E-1,-6.999006271E0,6.920042992E0
8.292585940E-1,-1.770688742E-1,-7.001399040E0,6.920042992E0
8.316695320E-1,-1.555334777E-1,-6.989434719E0,6.924828529E0
8.340804690E-1,-1.531406492E-1,-6.979863644E0,6.903293133E0
8.364914070E-1,-1.339980662E-1,-6.972685337E0,6.893722057E0
8.389023440E-1,-1.339980662E-1,-6.979863644E0,6.896114826E0
8.413133340E-1,-1.316052526E-1,-6.996613503E0,6.886543751E0
8.437242710E-1,-1.148554832E-1,-7.008577347E0,6.896114826E0
8.461352090E-1,-1.220339537E-1,-6.982256413E0,6.896114826E0
8.485461460E-1,-1.172483116E-1,-6.994220734E0,6.903293133E0
8.509570840E-1,-1.076770201E-1,-7.006184578E0,6.920042992E0
8.533680210E-1,-1.052841991E-1,-7.010970116E0,6.939185619E0
8.557789590E-1,-9.332008660E-2,-7.006184578E0,6.941578388E0
8.581898960E-1,-1.100698411E-1,-7.006184578E0,6.970292568E0
8.606008340E-1,-1.244267747E-1,-7.006184578E0,6.979863644E0
8.630117710E-1,-1.220339537E-1,-6.989434719E0,6.982256413E0
8.654227090E-1,-1.100698411E-1,-6.996613503E0,6.970292568E0
8.678336460E-1,-1.076770201E-1,-6.982256413E0,6.977470875E0
8.702446360E-1,-1.148554832E-1,-6.965506554E0,6.991827965E0
8.726555730E-1,-1.244267747E-1,-6.948757172E0,6.991827965E0
8.750665110E-1,-1.052841991E-1,-6.941578388E0,6.989434719E0
8.774774480E-1,-9.810572863E-2,-6.917650223E0,6.994220734E0
8.798883860E-1,-9.810572863E-2,-6.905686378E0,7.001399040E0
8.822993230E-1,-9.810572863E-2,-6.900900364E0,7.003791809E0
8.847102610E-1,-9.571290761E-2,-6.893722057E0,7.015756130E0
8.871211980E-1,-1.100698411E-1,-6.893722057E0,7.027719975E0
8.895321360E-1,-1.076770201E-1,-6.888936520E0,7.039684296E0
8.919430730E-1,-9.332008660E-2,-6.881757736E0,7.039684296E0
8.943540110E-1,-1.052841991E-1,-6.865008354E0,7.042077065E0
8.967650000E-1,-1.292124242E-1,-6.865008354E0,7.051648140E0
8.991759380E-1,-1.316052526E-1,-6.848258495E0,7.061219692E0
9.015868750E-1,-1.651047617E-1,-6.848258495E0,7.073183537E0
9.039978130E-1,-1.698904037E-1,-6.836294174E0,7.044469833E0
9.064087500E-1,-1.459621787E-1,-6.817151546E0,7.022934437E0
9.088196880E-1,-1.435693651E-1,-6.778866768E0,7.018148899E0
9.112306250E-1,-1.531406492E-1,-6.752545357E0,7.030112743E0
9.136415630E-1,-1.674975902E-1,-6.750152588E0,7.032505512E0
9.160525000E-1,-1.674975902E-1,-6.731009960E0,7.054041386E0
9.184634380E-1,-1.986042857E-1,-6.678368092E0,7.142575741E0
9.208743750E-1,-2.440679073E-1,-6.606583118E0,7.326822758E0
9.232853130E-1,-2.297109663E-1,-6.601797581E0,7.355536938E0
9.256962500E-1,-2.344966233E-1,-6.606583118E0,7.338787079E0
9.281072400E-1,-2.440679073E-1,-6.601797581E0,7.334001541E0
9.305181770E-1,-2.392822653E-1,-6.632904530E0,7.338787079E0
9.329291150E-1,-2.560320199E-1,-6.678368092E0,7.329215527E0
9.353400520E-1,-2.727817893E-1,-6.683153629E0,7.326822758E0
9.377509900E-1,-3.278166950E-1,-6.647261143E0,7.331608772E0
9.401619270E-1,-3.565305769E-1,-6.556334019E0,7.338787079E0
