"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.598127660E-1,3.130682046E-3,-1.153007243E-2,1.397353224E-2
6.622237040E-1,8.628465235E-3,-9.086613543E-3,1.519526169E-2
6.646346930E-1,1.656970754E-2,-6.032289471E-3,1.580612548E-2
6.670456830E-1,2.023489587E-2,-2.367100911E-3,1.458439697E-2
6.694566210E-1,2.756527252E-2,2.519817324E-3,1.580612548E-2
6.718676100E-1,3.245219216E-2,8.628465235E-3,1.580612548E-2
6.742785480E-1,3.733910993E-2,1.351538301E-2,1.519526169E-2
6.766895370E-1,4.161516204E-2,1.901316643E-2,1.458439697E-2
6.791005270E-1,4.589121789E-2,2.390008420E-2,1.580612548E-2
6.815114640E-1,4.894553870E-2,2.634354308E-2,1.702785492E-2
6.839224540E-1,4.955640435E-2,2.573267929E-2,1.702785492E-2
6.863334430E-1,5.199986324E-2,2.512181364E-2,1.824958436E-2
6.887443810E-1,5.138900131E-2,2.206749097E-2,1.886045001E-2
6.911553710E-1,4.955640435E-2,1.840230078E-2,2.008217946E-2
6.935663600E-1,5.016727000E-2,1.290451828E-2,2.069304511E-2
6.959772980E-1,4.894553870E-2,9.239329956E-3,2.191477455E-2
6.983882870E-1,4.466948658E-2,4.352411721E-3,2.313650399E-2
7.007992770E-1,4.283689335E-2,-1.145371469E-3,2.313650399E-2
7.032102140E-1,3.978256881E-2,-6.643154658E-3,2.252563834E-2
7.056212040E-1,3.428478539E-2,-1.275180187E-2,2.313650399E-2
7.080321930E-1,3.123046272E-2,-1.580612548E-2,2.252563834E-2
7.104431310E-1,2.390008420E-2,-2.008217946E-2,2.008217946E-2
7.128541210E-1,1.840230078E-2,-2.374736778E-2,1.886045001E-2
7.152651100E-1,1.107192412E-2,-2.680169232E-2,1.580612548E-2
7.176760480E-1,1.908952487E-3,-2.619082667E-2,1.336266659E-2
7.200870370E-1,-4.810560029E-3,-2.496909723E-2,1.030834299E-2
7.224980270E-1,-1.397353224E-2,-2.252563834E-2,7.864884101E-3
7.249089640E-1,-2.313650399E-2,-1.886045001E-2,6.643154658E-3
7.273199540E-1,-3.352120519E-2,-1.336266659E-2,5.421424750E-3
7.297309430E-1,-4.268417507E-2,-6.032289471E-3,2.977965865E-3
7.321418810E-1,-5.184714869E-2,1.908952487E-3,2.977965865E-3
7.345528710E-1,-6.345357746E-2,9.239329956E-3,2.977965865E-3
7.369638600E-1,-7.383827865E-2,1.901316643E-2,1.756236190E-3
7.393747980E-1,-8.544471115E-2,2.817613818E-2,3.588830587E-3
7.417857870E-1,-9.582941234E-2,3.672824427E-2,2.977965865E-3
7.441967770E-1,-1.056032479E-1,4.283689335E-2,4.199695308E-3
7.466077140E-1,-1.165988147E-1,4.772381112E-2,4.810560029E-3
7.490187040E-1,-1.269835234E-1,4.955640435E-2,6.032289471E-3
7.514296410E-1,-1.379790753E-1,4.833467677E-2,9.086613543E-3
7.538406310E-1,-1.453094631E-1,4.589121789E-2,9.086613543E-3
7.562516210E-1,-1.514181048E-1,4.161516204E-2,1.091920771E-2
7.586625580E-1,-1.581376195E-1,3.611737862E-2,1.214093715E-2
7.610735480E-1,-1.636354029E-1,3.184132650E-2,1.214093715E-2
7.634845370E-1,-1.673005968E-1,2.817613818E-2,1.458439697E-2
7.658954750E-1,-1.691331863E-1,2.451094985E-2,1.580612548E-2
7.683064640E-1,-1.715766490E-1,2.206749097E-2,1.641699113E-2
7.707174540E-1,-1.740200967E-1,1.962403022E-2,1.763872057E-2
7.731283910E-1,-1.752418280E-1,2.084576152E-2,1.886045001E-2
7.755393810E-1,-1.758527011E-1,2.512181364E-2,1.886045001E-2
7.779503710E-1,-1.764635593E-1,2.878700197E-2,2.130390890E-2
7.803613080E-1,-1.770744324E-1,3.306305781E-2,2.252563834E-2
7.827722980E-1,-1.746309698E-1,4.039343446E-2,2.313650399E-2
7.851832870E-1,-1.740200967E-1,4.589121789E-2,2.374736778E-2
7.875942250E-1,-1.715766490E-1,5.016727000E-2,2.496909723E-2
7.900052140E-1,-1.697440445E-1,5.322159454E-2,2.435823344E-2
7.924162040E-1,-1.660788655E-1,5.627591908E-2,2.191477455E-2
7.948271410E-1,-1.599702090E-1,5.688678101E-2,2.069304511E-2
7.972381310E-1,-1.544724256E-1,5.383246019E-2,1.763872057E-2
7.996491210E-1,-1.471420527E-1,4.894553870E-2,1.580612548E-2
8.020600580E-1,-1.398116797E-1,4.466948658E-2,1.275180187E-2
8.044710480E-1,-1.324812919E-1,3.917170316E-2,1.153007243E-2
8.068819850E-1,-1.251509190E-1,3.428478539E-2,8.475748822E-3
8.092929750E-1,-1.172096804E-1,2.878700197E-2,9.086613543E-3
8.117039640E-1,-1.086575761E-1,2.206749097E-2,6.643154658E-3
8.141149540E-1,-1.013271958E-1,1.351538301E-2,3.588830587E-3
8.165258910E-1,-9.521854669E-2,4.352411721E-3,2.367100911E-3
8.189368810E-1,-8.727730811E-2,-4.199695308E-3,1.145371469E-3
8.213478180E-1,-8.055779338E-2,-1.091920771E-2,-2.519817324E-3
8.237588080E-1,-7.322741300E-2,-1.824958436E-2,-5.574141163E-3
8.261697980E-1,-6.772962958E-2,-2.680169232E-2,-7.406735327E-3
8.285807870E-1,-6.101011857E-2,-3.352120519E-2,-1.046105940E-2
8.309917250E-1,-5.795579776E-2,-3.840812296E-2,-1.290451828E-2
8.334027140E-1,-5.306887627E-2,-4.451677203E-2,-1.412624773E-2
8.358137040E-1,-4.879282415E-2,-4.879282415E-2,-1.656970754E-2
8.382246410E-1,-4.573849961E-2,-5.001455545E-2,-1.901316643E-2
8.406356310E-1,-4.207331315E-2,-5.001455545E-2,-2.084576152E-2
8.430465680E-1,-4.085158184E-2,-4.879282415E-2,-2.084576152E-2
8.454575580E-1,-3.840812296E-2,-4.512763396E-2,-2.267835476E-2
8.478685480E-1,-3.596466407E-2,-4.085158184E-2,-2.267835476E-2
8.502794850E-1,-3.229947388E-2,-3.474293277E-2,-2.390008420E-2
8.526904750E-1,-3.046688065E-2,-3.291033953E-2,-2.451094985E-2
8.551014640E-1,-2.680169232E-2,-3.046688065E-2,-2.634354308E-2
8.575124020E-1,-2.619082667E-2,-3.046688065E-2,-2.695440874E-2
8.599233910E-1,-2.191477455E-2,-3.229947388E-2,-2.695440874E-2
8.623343810E-1,-1.947131567E-2,-3.718639165E-2,-2.756527252E-2
8.647453180E-1,-1.702785492E-2,-4.146244749E-2,-2.817613818E-2
8.671563080E-1,-1.397353224E-2,-4.818195850E-2,-2.939786762E-2
8.695672980E-1,-1.091920771E-2,-5.490147322E-2,-2.817613818E-2
8.719782350E-1,-9.697478265E-3,-6.284271181E-2,-2.756527252E-2
8.743892250E-1,-8.475748822E-3,-6.834049523E-2,-2.390008420E-2
8.768002140E-1,-4.199695308E-3,-7.139482349E-2,-2.084576152E-2
8.792111520E-1,-2.367100911E-3,-7.506000996E-2,-1.718057133E-2
8.816221410E-1,1.298087649E-3,-7.383827865E-2,-1.290451828E-2
8.840331310E-1,3.130682046E-3,-7.322741300E-2,-6.795870606E-3
8.864440680E-1,6.795870606E-3,-7.200568914E-2,-1.298087649E-3
8.888550580E-1,1.351538301E-2,-6.956222653E-2,4.810560029E-3
8.912660480E-1,1.901316643E-2,-6.589704007E-2,9.086613543E-3
8.936769850E-1,2.267835476E-2,-6.101011857E-2,1.458439697E-2
8.960879750E-1,2.878700197E-2,-5.306887627E-2,1.886045001E-2
8.984989640E-1,3.489565104E-2,-4.268417507E-2,2.374736778E-2
9.009099020E-1,3.611737862E-2,-3.474293277E-2,2.802342176E-2
9.033208910E-1,4.039343446E-2,-2.252563834E-2,3.107774630E-2
9.057318290E-1,4.466948658E-2,-1.336266659E-2,3.413207084E-2
9.081428180E-1,4.833467677E-2,-4.810560029E-3,3.535379842E-2
9.105538080E-1,5.322159454E-2,6.872228696E-4,4.024071619E-2
9.129647980E-1,5.994110554E-2,5.574141163E-3,4.207331315E-2
9.153757350E-1,6.360629201E-2,8.017600514E-3,4.573849961E-2
9.177867250E-1,6.788235158E-2,9.239329956E-3,4.879282415E-2
9.201976620E-1,7.215840369E-2,1.046105940E-2,5.123628303E-2
9.226086520E-1,7.582359016E-2,8.628465235E-3,5.429060757E-2
9.250196410E-1,7.826705277E-2,6.795870606E-3,5.612320080E-2
9.274305790E-1,8.132137358E-2,5.574141163E-3,5.856665969E-2
9.298415680E-1,8.132137358E-2,1.908952487E-3,5.917752534E-2
9.322525580E-1,8.315397054E-2,-5.345066893E-4,6.039925665E-2
9.346634960E-1,8.437569439E-2,-1.145371469E-3,6.101011857E-2
9.370744850E-1,8.254310489E-2,-4.199695308E-3,6.039925665E-2
9.394854750E-1,8.315397054E-2,-7.254019380E-3,5.795579776E-2
9.418964120E-1,8.193223923E-2,-9.697478265E-3,5.551233515E-2
